Animal,Common Name,Bio Prompt,Image Prompt,"Bio
Generated","Image
Generated
(Best of 4)","Real Image
Obtained","Bio-verified 
(Wikipedia)","Image-verified
(Image Search)","Assets added to site and 
both lookup functions updated",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,JSON
Sphecotheres vieilloti,Australasian figbird,Please generate a short species bio with some interesting facts about  Sphecotheres vieilloti.,"A photo realistic images of the animal, Sphecotheres vieilloti in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Spilopelia chinensis,Spotted dove,Please generate a short species bio with some interesting facts about  Spilopelia chinensis.,"A photo realistic images of the animal, Spilopelia chinensis in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Stagonopleura guttata,Diamond Firetail,Please generate a short species bio with some interesting facts about  Stagonopleura guttata.,"A photo realistic images of the animal, Stagonopleura guttata in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Stipiturus ruficeps,Rufous-crowned emu-wren,Please generate a short species bio with some interesting facts about  Stipiturus ruficeps.,"A photo realistic images of the animal, Stipiturus ruficeps in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Stizoptera bichenovii,Double-barred finch,Please generate a short species bio with some interesting facts about  Stizoptera bichenovii.,"A photo realistic images of the animal, Stizoptera bichenovii in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Stomiopera unicolor,White-gaped honeyeater,Please generate a short species bio with some interesting facts about  Stomiopera unicolor.,"A photo realistic images of the animal, Stomiopera unicolor in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Strepera graculina,Pied currawong,Please generate a short species bio with some interesting facts about  Strepera graculina.,"A photo realistic images of the animal, Strepera graculina in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Strepera versicolor,Grey currawong,Please generate a short species bio with some interesting facts about  Strepera versicolor.,"A photo realistic images of the animal, Strepera versicolor in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Struthidea cinerea,Apostlebird,Please generate a short species bio with some interesting facts about  Struthidea cinerea.,"A photo realistic images of the animal, Struthidea cinerea in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Sugomel nigrum,Black Honeyeater,Please generate a short species bio with some interesting facts about  Sugomel nigrum.,"A photo realistic images of the animal, Sugomel nigrum in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Sus Scrofa,Wild boar,Please generate a short species bio with some interesting facts about  Sus Scrofa.,"A photo realistic images of the animal, Sus Scrofa in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Symposiachrus trivirgatus,Spectacled monarch,Please generate a short species bio with some interesting facts about  Symposiachrus trivirgatus.,"A photo realistic images of the animal, Symposiachrus trivirgatus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Synoicus ypsilophora,Brown quail,Please generate a short species bio with some interesting facts about  Synoicus ypsilophora.,"A photo realistic images of the animal, Synoicus ypsilophora in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Tachybaptus novaehollandiae,Australasian grebe,Please generate a short species bio with some interesting facts about  Tachybaptus novaehollandiae.,"A photo realistic images of the animal, Tachybaptus novaehollandiae in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Tachybaptus ruficollis,Little grebe,Please generate a short species bio with some interesting facts about  TachybaptusÂ ruficollis.,"A photo realistic images of the animal, TachybaptusÂ ruficollis in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Taeniopygia guttata,Zebra Finch,Please generate a short species bio with some interesting facts about  Taeniopygia guttata.,"A photo realistic images of the animal, Taeniopygia guttata in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Territornis albilineata,white-lined honeyeater,Please generate a short species bio with some interesting facts about  TerritornisÂ albilineata.,"A photo realistic images of the animal, TerritornisÂ albilineata in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Tettigoniidae sp.,Bush cricket,Please generate a short species bio with some interesting facts about  TettigoniidaeÂ sp..,"A photo realistic images of the animal, TettigoniidaeÂ sp. in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Threskiornis moluccus,White Ibis,Please generate a short species bio with some interesting facts about  Threskiornis moluccus.,"A photo realistic images of the animal, Threskiornis moluccus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Todiramphus macleayii,Forest kingfisher,Please generate a short species bio with some interesting facts about  Todiramphus macleayii.,"A photo realistic images of the animal, Todiramphus macleayii in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Todiramphus pyrrhopygius,Red-backed kingfisher,Please generate a short species bio with some interesting facts about  Todiramphus pyrrhopygius.,"A photo realistic images of the animal, Todiramphus pyrrhopygius in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Todiramphus sanctus,Sacred kingfisher,Please generate a short species bio with some interesting facts about  Todiramphus sanctus.,"A photo realistic images of the animal, Todiramphus sanctus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Tregellasia capito,Pale-yellow robin,Please generate a short species bio with some interesting facts about  Tregellasia capito.,"A photo realistic images of the animal, Tregellasia capito in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Trichoglossus chlorolepidotus,Scaly-breasted lorikeet,Please generate a short species bio with some interesting facts about  Trichoglossus chlorolepidotus.,"A photo realistic images of the animal, Trichoglossus chlorolepidotus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Trichoglossus haematodus,Coconut lorikeet,Please generate a short species bio with some interesting facts about  Trichoglossus haematodus.,"A photo realistic images of the animal, Trichoglossus haematodus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Trichosurus vulpecula,Common brushtail possum,Please generate a short species bio with some interesting facts about  Trichosurus vulpecula.,"A photo realistic images of the animal, Trichosurus vulpecula in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Turdus merula,Common blackbird,Please generate a short species bio with some interesting facts about  Turdus merula.,"A photo realistic images of the animal, Turdus merula in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Turnix varius,Painted buttonquail,Please generate a short species bio with some interesting facts about  Turnix varius.,"A photo realistic images of the animal, Turnix varius in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Tyto javanica,Eastern barn owl,Please generate a short species bio with some interesting facts about  Tyto javanica.,"A photo realistic images of the animal, Tyto javanica in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Uperoleia altissima,Montane toadlet,Please generate a short species bio with some interesting facts about  Uperoleia altissima.,"A photo realistic images of the animal, Uperoleia altissima in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Uperoleia laevigata,Smooth toadlet,Please generate a short species bio with some interesting facts about  Uperoleia laevigata.,"A photo realistic images of the animal, Uperoleia laevigata in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Uperoleia lithomoda,Stonemason toadlet,Please generate a short species bio with some interesting facts about  Uperoleia lithomoda.,"A photo realistic images of the animal, Uperoleia lithomoda in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Uperoleia littlejohni,Littlejohn's toadlet,Please generate a short species bio with some interesting facts about  Uperoleia littlejohni.,"A photo realistic images of the animal, Uperoleia littlejohni in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Uperoleia mimula,Mimicking gungan,Please generate a short species bio with some interesting facts about  Uperoleia mimula.,"A photo realistic images of the animal, Uperoleia mimula in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Vanellus miles,Masked lapwing,Please generate a short species bio with some interesting facts about  Vanellus miles.,"A photo realistic images of the animal, Vanellus miles in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Vanellus spinosus,Spur-winged lapwing,Please generate a short species bio with some interesting facts about  VanellusÂ spinosus.,"A photo realistic images of the animal, VanellusÂ spinosus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Vulpes vulpes,Red fox,Please generate a short species bio with some interesting facts about  Vulpes vulpes.,"A photo realistic images of the animal, Vulpes vulpes in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Wallabia bicolor,Swamp wallaby,Please generate a short species bio with some interesting facts about  Wallabia bicolor.,"A photo realistic images of the animal, Wallabia bicolor in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Yoyetta tristrigata,Tropical ambertail,Please generate a short species bio with some interesting facts about  Yoyetta tristrigata.,"A photo realistic images of the animal, Yoyetta tristrigata in it's natural habitat",fail,fail,,,,,,,,,,,,Y
Zanda funerea,Yellow-tailed black cockatoo,Please generate a short species bio with some interesting facts about  Zanda funerea.,"A photo realistic images of the animal, Zanda funerea in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Zanda sp.,Sulphur crested cockatoo,Please generate a short species bio with some interesting facts about  ZandaÂ sp..,"A photo realistic images of the animal, ZandaÂ sp. in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Zoothera heinei,Russet-tailed thrush,Please generate a short species bio with some interesting facts about  Zoothera heinei.,"A photo realistic images of the animal, Zoothera heinei in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Zoothera lunulata,Bassian thrush,Please generate a short species bio with some interesting facts about  Zoothera lunulata.,"A photo realistic images of the animal, Zoothera lunulata in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Zosterops lateralis,Silvereye,Please generate a short species bio with some interesting facts about  Zosterops lateralis.,"A photo realistic images of the animal, Zosterops lateralis in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Chalcites basalis,Horsfield's bronze cuckoo,"Horsfield's bronze cuckoo (Chalcites basalis) is a small bird found in Australia, Indonesia, and Papua New Guinea. It is a brood parasite, laying its eggs in the nests of other bird species.","A photo realistic images of the animal, Chalcites basalis in it's natural habitat",y,y,,y,,,,,,,,,,
Chalcites lucidus,Shining bronze cuckoo,Please generate a short species bio with some interesting facts about  Chalcites lucidus.,"A photo realistic images of the animal, Chalcites lucidus in it's natural habitat",y,y,,,,,,,,,,,,
Chalcites osculans,Black-eared cuckoo,Please generate a short species bio with some interesting facts about  Chalcites osculans.,"A photo realistic images of the animal, Chalcites osculans in it's natural habitat",y,fail,,,,,,,,,,,,
Chelapsalta puer,No info,Please generate a short species bio with some interesting facts about  Chelapsalta puer.,"A photo realistic images of the animal, Chelapsalta puer in it's natural habitat",fail,fail,,,,,,,,,,,,
Chenonetta jubata,Australian wood duck,Please generate a short species bio with some interesting facts about  Chenonetta jubata.,"A photo realistic images of the animal, Chenonetta jubata in it's natural habitat",y,y,,,,,,,,,,,,
Cherax destructor,Common yabby,Please generate a short species bio with some interesting facts about  Cherax destructor.,"A photo realistic images of the animal, Cherax destructor in it's natural habitat",y,y,,,,,,,,,,,,
Chlamydera guttata,Western bowerbird,Please generate a short species bio with some interesting facts about  Chlamydera guttata.,"A photo realistic images of the animal, Chlamydera guttata in it's natural habitat",y,n,,,,,,,,,,,,
Chlamydera nuchalis,Great bowerbird,Please generate a short species bio with some interesting facts about  Chlamydera nuchalis.,"A photo realistic images of the animal, Chlamydera nuchalis in it's natural habitat",y,n,,,,,,,,,,,,
CicadidaeÂ sp.,No info,Please generate a short species bio with some interesting facts about  CicadidaeÂ sp..,"A photo realistic images of the animal, CicadidaeÂ sp. in it's natural habitat",FAIL,fail,,,,,,,,,,,,
Cincloramphus mathewsi,Rufous songlark,Please generate a short species bio with some interesting facts about  Cincloramphus mathewsi.,"A photo realistic images of the animal, Cincloramphus mathewsi in it's natural habitat",y,y,,,,,,,,,,,,
Cinclosoma cinnamomeum,Cinnamon quail-thrush,Please generate a short species bio with some interesting facts about  Cinclosoma cinnamomeum.,"A photo realistic images of the animal, Cinclosoma cinnamomeum in it's natural habitat",Y,FAIL,,,,,,,,,,,,
Cinclosoma punctatum,Spotted quail-thrush,Please generate a short species bio with some interesting facts about  Cinclosoma punctatum.,"A photo realistic images of the animal, Cinclosoma punctatum in it's natural habitat",y,fail,,,,,,,,,,,,
Cisticola exilis,Golden-headed cisticola,Please generate a short species bio with some interesting facts about  Cisticola exilis.,"A photo realistic images of the animal, Cisticola exilis in it's natural habitat",Y,Y,,,,,,,,,,,,
Climacteris erythrops,Red-browed treecreeper,Please generate a short species bio with some interesting facts about  Climacteris erythrops.,"A photo realistic images of the animal, Climacteris erythrops in it's natural habitat",Y,FAIL,,,,,,,,,,,,
Climacteris picumnus,Brown treecreeper,Please generate a short species bio with some interesting facts about  Climacteris picumnus.,"A photo realistic images of the animal, Climacteris picumnus in it's natural habitat",Y,FAIL,,,,,,,,,,,,
Colluricincla harmonica,Grey shrikethrush,Please generate a short species bio with some interesting facts about  Colluricincla harmonica.,"A photo realistic images of the animal, Colluricincla harmonica in it's natural habitat",Y,Y,,,,,,,,,,,,
Colluricincla megarhyncha,Arafura shrikethrush,Please generate a short species bio with some interesting facts about  Colluricincla megarhyncha.,"A photo realistic images of the animal, Colluricincla megarhyncha in it's natural habitat",Y,Y,,,,,,,,,,,,
Colluricincla woodwardi,Sandstone shrikethrush,Please generate a short species bio with some interesting facts about  Colluricincla woodwardi.,"A photo realistic images of the animal, Colluricincla woodwardi in it's natural habitat",Y,Y,,,,,,,,,,,,
Conocephalus albescens,Whitish Meadow Katydid,Please generate a short species bio with some interesting facts about  Conocephalus albescens.,"A photo realistic images of the animal, Conocephalus albescens in it's natural habitat",Y,Y,,,,,,,,,,,,
Conocephalus semivittatus,Blackish Meadow Katydid,Please generate a short species bio with some interesting facts about  Conocephalus semivittatus.,"A photo realistic images of the animal, Conocephalus semivittatus in it's natural habitat",Y,y,,,,,,,,,,,,
Conocephalus upoluensis,Greenish Meadow Katydid,Please generate a short species bio with some interesting facts about  Conocephalus upoluensis.,"A photo realistic images of the animal, Conocephalus upoluensis in it's natural habitat",Y,y,,,,,,,,,,,,
ConocephalusÂ sp.,NO info,Please generate a short species bio with some interesting facts about  ConocephalusÂ sp..,"A photo realistic images of the animal, ConocephalusÂ sp. in it's natural habitat",FAIL,FAIL,,,,,,,,,,,,
Gymnorhina tibicen,Australian magpie,Please generate a short species bio with some interesting facts about  Gymnorhina tibicen.,"A photo realistic images of the animal, Gymnorhina tibicen in it's natural habitat",y,y,,,,,,,,,,,,
Haliastur sphenurus,Whistling kite,Please generate a short species bio with some interesting facts about  Haliastur sphenurus.,"A photo realistic images of the animal, Haliastur sphenurus in it's natural habitat",y,y,,,,,,,,,,,,
Henicopsaltria eydouxii,razor grinder,Please generate a short species bio with some interesting facts about  Henicopsaltria eydouxii.,"A photo realistic images of the animal, Henicopsaltria eydouxii in it's natural habitat",y,fail,,,,,,,,,,,,
Heteroscenes pallidus,pallid cuckoo,Please generate a short species bio with some interesting facts about  Heteroscenes pallidus.,"A photo realistic images of the animal, Heteroscenes pallidus in it's natural habitat",y,fail,,,,,,,,,,,,
Hieraaetus morphnoides,Little eagle,Please generate a short species bio with some interesting facts about  Hieraaetus morphnoides.,"A photo realistic images of the animal, Hieraaetus morphnoides in it's natural habitat",y,y,,,,,,,,,,,,
Himantopus himantopus,Black-winged stilt,Please generate a short species bio with some interesting facts about  Himantopus himantopus.,"A photo realistic images of the animal, Himantopus himantopus in it's natural habitat",y,y,,,,,,,,,,,,
Hirundo neoxena,Welcome swallow,Please generate a short species bio with some interesting facts about  Hirundo neoxena.,"A photo realistic images of the animal, Hirundo neoxena in it's natural habitat",y,y,,,,,,,,,,,,
Hylacola pyrrhopygia,chestnut-rumped heathwren,Please generate a short species bio with some interesting facts about  Hylacola pyrrhopygia.,"A photo realistic images of the animal, Hylacola pyrrhopygia in it's natural habitat",y,fail,,,,,,,,,,,,
Irediparra gallinacea,Comb-crested jacana,Please generate a short species bio with some interesting facts about  Irediparra gallinacea.,"A photo realistic images of the animal, Irediparra gallinacea in it's natural habitat",y,y,,,,,,,,,,,,
Iridomyrmex purpureus,Meat Ant,Please generate a short species bio with some interesting facts about  Iridomyrmex purpureus.,"A photo realistic images of the animal, Iridomyrmex purpureus in it's natural habitat",y,y,,,,,,,,,,,,
Lalage leucomela,varied triller,Please generate a short species bio with some interesting facts about  Lalage leucomela.,"A photo realistic images of the animal, Lalage leucomela in it's natural habitat",y,y,,,,,,,,,,,,
Lalage tricolor,white-winged triller,Please generate a short species bio with some interesting facts about  Lalage tricolor.,"A photo realistic images of the animal, Lalage tricolor in it's natural habitat",y,fail,,,,,,,,,,,,
Lathamus discolor,swift parrot,Please generate a short species bio with some interesting facts about  Lathamus discolor.,"A photo realistic images of the animal, Lathamus discolor in it's natural habitat",y,fail,,,,,,,,,,,,
Leucosarcia melanoleuca,Wonga pigeon,Please generate a short species bio with some interesting facts about  Leucosarcia melanoleuca.,"A photo realistic images of the animal, Leucosarcia melanoleuca in it's natural habitat",y,fail,,,,,,,,,,,,
Lichenostomus melanops,Yellow-tufted honeyeater,Please generate a short species bio with some interesting facts about  Lichenostomus melanops.,"A photo realistic images of the animal, Lichenostomus melanops in it's natural habitat",y,y,,,,,,,,,,,,
Lichmera indistincta,Brown honeyeater,Please generate a short species bio with some interesting facts about  Lichmera indistincta.,"A photo realistic images of the animal, Lichmera indistincta in it's natural habitat",y,y,,,,,,,,,,,,
Limnodynastes dumerilii,Eastern banjo frog,Please generate a short species bio with some interesting facts about  Limnodynastes dumerilii.,"A photo realistic images of the animal, Limnodynastes dumerilii in it's natural habitat",y,y,,,,,,,,,,,,
Limnodynastes peronii,striped marsh frog,Please generate a short species bio with some interesting facts about  Limnodynastes peronii.,"A photo realistic images of the animal, Limnodynastes peronii in it's natural habitat",y,y,,,,,,,,,,,,
Limnodynastes tasmaniensis,spotted grass frog,Please generate a short species bio with some interesting facts about  Limnodynastes tasmaniensis.,"A photo realistic images of the animal, Limnodynastes tasmaniensis in it's natural habitat",y,y,,,,,,,,,,,,
Litoria caerulea,Australian green tree frog,Please generate a short species bio with some interesting facts about  Litoria caerulea.,"A photo realistic images of the animal, Litoria caerulea in it's natural habitat",y,y,,,,,,,,,,,,
Litoria gracilenta,Dainty green tree frog,Please generate a short species bio with some interesting facts about  Litoria gracilenta.,"A photo realistic images of the animal, Litoria gracilenta in it's natural habitat",y,y,,,,,,,,,,,,
Litoria inermis,bumpy rocket frog,Please generate a short species bio with some interesting facts about  Litoria inermis.,"A photo realistic images of the animal, Litoria inermis in it's natural habitat",y,fail,,,,,,,,,,,,
